"Points","Points fidélité"
"Reward points","Points fidélité"
"You have %d point(s) available","Vous avez %d point(s) disponible(s)"
"To get a discount you need at least %d points","Pour pouvoir bénéficier d'une remise, vous avez besoin d'un minimum de %d points"
"Enter quantity of credit you want to use.","Veuillez entrer la quatité de points que vous voulez utiliser."
"%d points","%d points"
"Apply Points","Utilisez vos points"
"Apply points","Utilisez vos points"
"You are currently using %d point(s) of your %d point(s) available","Vous utilisez actuellement %d point(s) sur %d"
"Remove Points","Ne plus utiliser vos points"
"Not enough points available.","Nombre de points disponible insuffisant."
"The minimum required points is not reached","Le minimum de points nécessaire n'est pas atteint"
"Amount of points wrongly used","Quantité de points utilisé de manière incorrecte"
"Your Points","Vos Points"
"Total Accumulated Points","Total de l'accumulation de vos points"
"Total Points Spent","Total des points utilisés"
"Points waiting for validation","Points en attente de validation"
"Your cart amount has not reached the minimum required points","Le montant global de votre panier n'est pas suffisant pour pouvoir utiliser vos crédits"
"yes","oui"
"no","non"
"Please enter a valid email address","Veuillez entrer une adresse email valide"
"Please enter your friend name","Veuillez entrer le nom du filleul"
"This email has been already submitted","Cet email est déjà utlisé"
"There was a problem with the invitation","Problème lors de l'invitation"
"This email was successfully invited","L'email a bien été envoyé"
"Friend's name","Nom du filleul"
"Statistics","Statistiques"
"Reward Points","Points fidélité"
"Customer full name","Client"
"Customer email","Email client"
"Accumulated points","Points accumulés"
"Spent points","Points utilisés"
"Add New","Ajout de points"
"Refresh customer points","Rafraichir les points clients"
"Defaults","Configuration par défaut"
"Money to obtain 1 point","Quantité dépensé pour obtenir 1 point"
"Amount of money required to obtain 1 credit point.","Quantité d'argent dépensé pour obtenir un point de fidélité."
"Points to obtain 1 €","Points nécessaire pour obtenir 1€"
"Amount of points required to obtain a discount.","Quantité de points nécessaire pour obtenir un euro."
"Apply points by step","Procéder par palier"
"Apply credit points step by step. e.g. 250, 500, 750, etc.","Utiliser les points par palier. ex. 250, 500, 750, etc."
"Step value","Valeur du palier"
"The step value","Valeur du palier"
"Use max amount of points","Utilisation maximale de points"
"Apply the maximum amount of point to the order","Utiliser le maximum des points dont dispose l'utilisateur."
"Round up points","Arrondir (suppérieur)"
"If yes, the points will be rounded. Otherwise, it will be floored.","Si oui, les points acquis seront arrondis à la valeur suppérieure."
"Referral points","Points fidélité parrainage"
"Points earned when referred friend orders.","Points fidélité acquis lors de parrainage, lorsque le filleul commande pour la première fois."
"Referral child points","Points fidélité filleul"
"Points earned by referred friend for first order.","Points fidélité gagnés par les filleul, lors de sa première commande."
"Select email template (Referral subscribe)","Choix du template email par défaut (Email filleul)"
