"Actions","操作"
"Are you sure?","您确定吗？"
"An error occurred while marking notification as read.","阅读标记时出现错误."
"An error occurred while marking the messages as read.","阅读标记信息时出现错误."
"An error occurred while removing messages.","移除信息时出错."
"An error occurred while removing the message.","移除信息时出错."
"Are you sure?","您确定吗？"
"critical","关键"
"Date Added","添加日期"
"Error while marking as read. Please try again later.","标记为已读时发生错误，请稍后重试。"
"Error while marking. Please try again later.","进行标记时发生错误，请稍后重试。"
"Error while removing. Please try again later.","删除信息时发生错误，清稍后重试。"
"Last update","最后更新时间"
"major","重要"
"Mark as Read","标记为已读"
"Mark as read","标记为已读"
"Message","信息"
"Message was successfully marked as read","成功将信息标记为已读"
"Message was successfully removed","成功删除信息"
"Messages Inbox","收件箱"
"minor","次要"
"notice","公告"
"Notifications","通知"
"Please select messages","请选择信息"
"Read Details","阅读详情"
"Remove","删除"
"Severity","重要性"
"Show List","显示列表"
"Show Toolbar","显示工具栏"
"Total of %d record(s) were successfully marked as read","共有%d条记录被标记为已读"
"Total of %d record(s) were successfully removed","共有%d被删除"
"Unable to proceed. Please, try again","操作无法继续。请稍后再试!"
"Update frequency","更新频率"
"Use HTTPS to get feed","使用HTTPS获得订阅内容"
"The message has been marked as read.","阅读时已标记此信息."
"The message has been removed.","已移除此信息."
"Total of %d record(s) have been marked as read.","所有%d的记录在阅读时已经被标记."
"Total of %d record(s) have been removed.","所有%d的记录已经被移除."
"Unable to proceed. Please, try again.","程序无法进行.请稍后再试."
"Update Frequency","更新频率"
"Use HTTPS to Get Feed","用HTTPS得到Feed"
