" [deleted]"," [删除]"
" and "," 以及 "
" The customer does not exist in the system anymore."," 系统内不存在该用户."
" [deleted]"," [删除]"
" and "," 以及 "
" The customer doesn't exist in the system anymore"," 该客户已不存在"
"- Click on any of the time parts to increase it","- 点击时间任意部分可以使其递增"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- or click and drag for faster selection.","- 或者点击并拖动以快速选择。"
"- or Shift-click to decrease it","- 或者按住 Shift 并点击使其递减"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"-- Not Selected --","-- 不设定 --"
"-- Please select --","-- 请选择 --"
"-- Please Select --","-- 请选择 --"
"-- Please select a category --","-- 请选择分类 --"
"-- Please Select Billing Agreement--","-- 请选择计费协议 --"
"--Please Select--","--请选择--"
"(\t for tab)","(t 为制表符)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于Magento安装根目录，例如 var/export)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(不可改变路径或让magento麦金斗安装根,例变量或者到处)"
"(For US 2-letter state names)","(2个字母的省份名(适用于美国))"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(Leave empty for first spreadsheet)","(留空为第一个电子表)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果导入文件中'商店'栏目为空或者缺少，商品将被增加/更新到该商店。)"
"(Shift-)Click or drag to change value","(Shift-)单击或者拖动以变更取值"
"(Starting with)","(开头)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","(改变这个值之前您必须增加页面的有限空间)"
"(You have to increase php memory_limit before changing this value)","（修改该值之前您必须先增加 php 的 memory_limit 设置值）"
"[ deleted ]","[ 删除 ]"
"[deleted]","[删除]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","{{base_url}}不建议在正式运行环境下公布基准不安全网址和基准安全网址。强烈建议您在Magento <a href=""%s"">配置</a>中修改此值。"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - 将终止已有的索引进程并启动新的索引进程。"
"[STORE VIEW]","[商店界面]"
"[WEBSITE]","[网站]"
"%s (Default Template from Locale)","%s (默认局部模板)"
"%s cache type(s) disabled.","%s 禁用缓存."
"%s cache type(s) enabled.","%s 可用缓存."
"%s cache type(s) refreshed.","%s 刷新缓存."
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404错误</h1><p>没有找到该页面</p>"
"1 Hour","1 小时"
"12 Hours","12 小时"
"12h AM/PM","12h AM/PM"
"2 Hours","2 小时"
"24 Hours","24 小时"
"24h","24h"
"2YTD","2YTD"
"6 Hours","6 小时"
"A new password was sent to your email address. Please check your email and click Back to Login.","新的密码已经发送至你的邮箱.请进入你的邮箱然后重新登录."
"A user with the same user name or email aleady exists.","已经存在相同的用户名或者邮箱名."
"Abandoned Carts","放弃购物车"
"About the calendar","关于日程表"
"Access Denied","拒绝访问"
"Access denied","拒绝访问"
"Access Denied.","访问被拒绝。"
"Access denied.","拒绝访问."
"Access Deny","拒绝访问"
"Account Created in:","创建账户:"
"Account Created on (%s):","创建账户于 (%s):"
"Account Created on:","创建账户于:"
"Account Information","账户信息"
"Account status","账户状态"
"Account Status","账户状态"
"Account successfully saved","成功保存帐号"
"Action","操作"
"Action","操作"
"Actions","操作"
"Actions","操作"
"Actions XML","操作 XML"
"Actions XML","XML操作"
"Active","启用"
"Active","激活"
"Add","添加"
"Add after","添加之后"
"Add Author","添加作者"
"Add Contents Path","添加内容路径"
"Add Contents Path","添加内容路径"
"Add Exception","添加示例"
"Add Exception","添加例外"
"Add Field Mapping","添加区域地图"
"Add Field Mapping","添加字段映射"
"Add Field with URL:","添加区域的URL:"
"Add Maintainer","添加维护人员"
"Add New Image","添加新图片"
"Add New osCommerce Profile","添加新的osCommerce属性"
"Add New Profile","添加新属性"
"Add New Role","添加新作用"
"Add New Template","添加新模板"
"Add New URL Rewrite","添加新的URL重写"
"Add New User","添加新用户"
"Add New Variable","添加新变量"
"Add Package dependency","添加附属软件包"
"Add Package dependency","添加安装包依赖"
"Add PHP Extension dependency","添加 PHP扩展依赖"
"Add PHP Extension dependency","添加PHP推广"
"Add Subpackage dependency","添加子安装包依赖"
"Add URL Rewrite","添加URL重写"
"Add URL Rewrite for a Category","添加分类URL重写"
"Add URL Rewrite for a Product","添加商品URL重写"
"Add Urlrewrite","添加网址重写"
"Add Urlrewrite for a Category","添加分类网址重写"
"Add Urlrewrite for a Product","添加商品网址重写"
"Additional Cache Management","额外的缓存管理"
"Address Type:","地址类型:"
"Admin","管理"
"Admin","管理员"
"Advanced Admin Section","高级管理区域"
"Advanced Admin Section","高级管理员单元"
"Advanced Profiles","高级配置文件"
"Advanced Profiles","高级属性"
"Advanced Section","高级区域"
"Advanced Section","高级单元"
"Aggregate Order","累计订单"
"All","所有"
"All","全部"
"All Allowed Countries","所有允许国家"
"All Allowed Countries","全部允许的国家"
"All Cache","全部的缓存"
"All Cache","所有缓存"
"All countries","全部的国家"
"All countries","所有国家"
"All fields","所有栏目"
"All fields","全部的字段"
"All Files","全部的文件"
"All Files","所有文件"
"All possible rates were fetched, please click on ""Save"" to apply","所有可能的速率已经完成,请点击保存""以提交"""
"All rates were fetched, please click on ""Save"" to apply","所有数据已经完成,请点击保存""以提交"""
"All Reviews","全部的评论"
"All Store Views","所有商店界面"
"All Store Views","全部的商店界面"
"All Tags","所有标签"
"All Tags","全部的标签"
"All valid rates have been saved.","所有有效的数据已经保存."
"All valid rates successfully saved","成功保存所有有效的汇率"
"All Websites","全部的网站"
"All Websites","所有网站"
"Amounts","总数"
"Amounts","金额"
"An error occurred while clearing the image cache.","清理图片缓存时发生了错误."
"An error occurred while clearing the JavaScript/CSS cache.","清理JavaScript/CSS缓存时发生了错误."
"An error occurred while creating the backup.","建立备份时出现了错误."
"An error occurred while deleting email template data. Please review log and try again.","删除邮箱模板数据时出现了错,请检查记录,重新试一次"
"An error occurred while deleting this role.","删除角色是出现了错误."
"An error occurred while deleting this set.","删除设置时出现了错误."
"An error occurred while deleting this template.","删除这个模板时出现了错误."
"An error occurred while finishing process. Please refresh the cache","程序完成时出现了错误,请刷新缓存"
"An error occurred while rebuilding the catalog index.","重新建立目录首页时出现了错误."
"An error occurred while rebuilding the Catalog Inventory Stock Status.","重新建立目录存货状态时出现了错误."
"An error occurred while rebuilding the flat catalog category.","重新建立目录分类时出现了错误."
