"Alipay";"支付宝"
"alipay";"支付宝"
"You will be redirected to chinabank website when you place an order.";"当您确认订单后，系统将跳转到支付宝页面完成支付"
"You will be redirected to Alipay in a few seconds.";"几秒钟之后将带您转向支付宝页面。"
"wait buyer pay";"等待付款(支付宝)"
"wait seller end goods";"等待卖家发货(支付宝)"
"send goods";"卖家已发货(支付宝)"
"wait buyer confirm goods";"等待买家收货(支付宝)"
"trade finishen";"已完成(支付宝)"
"pending wait buyer pay";"等待付款(支付宝)"
"You will be redirected to Alipay website when you place an order.";"您在“确认订单”后会被连接到支付宝网站；您可以选择使用各大银行卡或支付宝帐户来付款。请在本次访问中付款，否则支付宝可能不会保存您的订单信息。"
"Pay";"支付"
