"-- Please Select --","-- 请选择 --"
"%s","%s"
"%s already exist","%s已存在"
"%s already exists","%s已存在"
"A category object is required for determining the product request path.","确定产品的请求路径需要分类信息."
"Add Secret Key to URLs","给URL加密钥"
"Add Store Code to Urls","网址中加入商店码"
"Admin","管理员选项"
"Admin Base URL","管理基准 URL"
"Admin User Emails","管理用户邮件"
"Advanced","高级"
"Allow countries","允许国家"
"Allowed IPs (comma separated)","允许的IP地址（多个记录用逗号分开）"
"Are you sure?","您确认吗？"
"Allows customers to stay logged in when switching between different stores.","在不同商店之间进行切换的同时让客户保持登录状态."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","在分页菜单中,为下一个链接替换文本.如果为空,默认的标志图像将被使用."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","在分页菜单中为上一链接替换文本.如果为空,默认的标志图像将被使用."
"An error occurred while saving. Please review the error log.","保存时出错.请检查错误的日志."
"Anchor Text for Next","为下一章节作锚文本"
"Anchor Text for Previous","为上一章节作锚文本"
"Are you sure?","您确定吗？"
"Back","返回"
"Backup options","备份选项"
"Base JavaScript URL","基准 JavaScript 网址"
"Base Link URL","基准链接网址"
"Base Media URL","基准媒体网址"
"Base Skin URL","基准皮肤网址"
"Base URL","基准网址"
"Before modifying the store view code please make sure that it is not used in index.php","在修改商店界面代码前，请确认没有在index.php中使用"
"Before modifying the website code please make sure that it is not used in index.php","在修改网站代码前，请确认没有在index.php中使用"
"Block with name ""%s"" already exists","方框""%s""已存在"
"Blocks HTML output","区块 HTML 输出"
"Can't retrieve entity config: %s","无法获取实体配置：%s"
"Can't retrieve request object","无法获取请求的对象"
"Browser Capabilities Detection","浏览器功能检测"
"Cache Storage Management","缓存存储管理"
"Cache storage may contain another data. Are you sure that you want flush it?","缓存存储器可能包含另一个数据.您确定要清理缓存？"
"Cancel","取消"
"Cannot complete this operation from non-admin area.","无法在非管理区完成此操作。"
"Cannot Delete Email Template","不能删除电子邮件模板"
"Category object is required for determining product request path","确定商品请求路径需要分类对象"
"Card type does not match credit card number","此卡类型跟信用卡不匹配"
"Code","代码"
