"Amex","Amex"
"2-pixel perimeter around the header space.","空间顶部有2像素的边."
"<a href=""http://www.magentocommerce.com/paypal"">开始接受paypal的付款方式</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D安全卡验证"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","现场需要一个值.指你的基本商务协议."
"Ability for buyer to purchase without PayPal account.","买家没有paypal账户."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","客户离开网站时没有同意付款.大多数流行的托管服务,超时购物车都有固有的支付流程支付网关,所以他们很容易管理."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","在购物车里接受付款. PayPal将会通过支付流程网关处理你的信用卡付款."
"Acceptance Mark","接受标示"
"Acceptance Mark Image","接受标示图"
"Account-to-Account Payment, initiated by PayPal","账户对账户的付款,由PayPal发行"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH 存款(保持争议或作其他调查)"
"ACH Deposit (Reversal)","ACH 存款(相反的)"
"ACH Funding for Funds Recovery from Account Balance","ACH 将用于账户余额的恢复"
"ACH Withdrawal","ACH Withdrawal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","添加一个快速结账按钮在你现有的购物车里且有简单的信用卡付款功能. PayPal负责所有付款程序."
"Additional Options","更多选项"
"Address Verification System Response","地址验证系统响应"
"All the address information matched","所有的地址信息匹配"
"Allow in Billing Agreement Wizard","允许账单协议的向导"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","允许值: ""paypal"", ""基本的"" (默认),你的顾客值(从你的代理商客户资料里定制一个付款页面类型)."
"Allowed Credit Card Types","允许信用卡类型"
"Also affects mini-shopping cart.","迷你购物车也会受影响."
"API Password","API 密码"
"API Signature","API 签名"
"API User Name","API 用户名"
"API Uses Proxy","API 使用代理"
"API/Integration","API/Integration"
"Api/Integration","Api/Integration"
"API/Integration Settings","API/Integration 设定"
"Ask Customer","询问客户"
"Attempted Authentication, Bad Result","不好的消息,认证失败"
"Attempted Authentication, Good Result","好消息,认证失败"
"Auction Payment other than through eBay","从EBAY拍卖付款"
"Authenticated, Bad Result","不好的验证结果"
"Authenticated, Good Result","好的验证结果"
"Authorization","授权"
"Authorize and Capture","授权和接收"
"Authorization transaction is required to void.","需求无效的授权交易."
"Auto","自动"
"AutoSweep","AutoSweep"
"Available Balance","可用余额"
"Balance Manager Account Bonus","账户奖金余额管理"
"Billing Address","账单地址"
"Billing Agreement Signup ","账单协议签约"
"Billing Information","账单信息"
"Bonus for first ACH Use","第一个使用ACH的奖金"
"Buyer Credit Payment","买方信贷付款"
"By default it is ""reports.paypal.com"".","默认的是""reports.paypal.com""."
"Cannot create target file for reading reports.","目标文件无法创建阅读报告."
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Change Payment Method","改变付款方式"
"Change Shipping Address","改变运送地址"
"Charge-off","注销"
"Chargeback","退单"
"Chargeback by customer.","客户退单."
"Checkout with PayPal","用PayPal结账"
"Completion Date","完成日期"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","连接到PayPal SFTP服务器索取新的报告.您确定要继续？"
"Countries Payment Applicable From","国家付款方式可以从"
"Coupon Redemption","联票偿还"
"Credit","信用"
"Credit Card Settings","设定信用卡"
"Currency Conversion required to cover negative balance","货币兑换需要覆盖负债方余额"
"Custom","自定义"
"Custom Endpoint Hostname or IP-Address","自定义端点名称或IP地址"
"Custom Path","自定义路径"
"Customer complaint.","顾客投诉."
"Customer did not include a confirmed address.","客户没有包扩可以确认的地址."
"Customer triggered a money-back guarantee.","客户激活了退款保证书."
"CVV2 Check Result by PayPal","PayPal的检查结果：CVV2"
"Daily","日常"
"Debit","借方"
"Debit Card Cash Back","借记卡回返现金"
"Debit Card Transaction","借记卡交易"
"Debit or Credit","借记卡或信用卡"
"Debug Mode","调试模式"
"Direct Payment API","直接支付API"
"Discount","折扣"
"Discount Tax","税收优惠"
"Displays on catalog pages and homepage.","显示在目录页和首页."
"Does not work if there are more than 10 shipping options available.","如果超过10个有效运送选项时停止工作."
"Don't have a PayPal account? Simply enter your email address.","还没有一个PayPal账户吗？输入你的电子邮箱地址将更方便。"
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","没有PalPal交易账户吗？你仍然可以通过支付流程网关接受信用卡付款."
"Dynamic","动态"
"eBay Auction Payment","eBay竞拍付款"
"Edit Shopping Cart","修改购物车"
"EFT Funding (German banking)","EFT资金(德国银行)"
