" The customer doesn't exist in the system anymore","该客户已不存在系统中"
"""%s"" coupon code is not valid.","""%s""优惠券代码不正确。"
"* - Enter custom price excluding tax","* - 输入自定义价格（不含税）"
"* - Enter custom price including tax","* - 输入自定义价格（含税）"
"-- Please Select --","-- 请设定 --"
"-- Please Select Billing Agreement--","-- 请选择计费协议--"
"%s / %s rate:","%s / %s 比例："
"%s for %s","%s 的 %s"
"%s order(s) successfully canceled","成功取消 %s 个订单"
"%s order(s) successfully put on hold","成功挂起 %s 个订单"
"%s order(s) successfully released from holding status","成功取消 %s 个订单的挂起状态"
"About This Order:","关于该订单："
"About Your Order","关于您的订单"
"%s order(s) have been released from holding status.","%s 个订单成功取消挂起状态."
"%s order(s) were not put on hold.","%s 个订单没有挂起."
"%s order(s) were not released from holding status.","%s 个订单没有被挂起."
"About This Profile:","关于这个简介:"
"Accept or Deny Payment","接受或拒绝付款"
"Accept Payment","接受付款"
"Account Information","帐号信息"
"Payment Method Name","付款方式"
"Action","操作"
"Actions","操作"
"Activate","激活"
"Active","激活的"
"Add","添加"
"Add a gift message for <strong>each gift item</strong>","增加<strong>每件礼物</strong>的礼物留言"
"Add a gift message for the <strong>entire order</strong>","增加<strong>整个订单</strong>的礼物留言"
"Add comment to order","添加订单备注"
"Add Gift Messsage","添加礼物留言"
"Add New Address","添加新地址"
"Add new comment to shipment","添加新的配送备注"
"Add new tracking number","添加新的运单号"
"Add Order Comments","添加订单备注"
"Add Products","添加商品"
"Add Selected Product(s) to Option","添加选中的商品到选项"
"Add Selected Product(s) to Order","所选商品加入订单"
"Add to Cart","加入购物车"
"Add To Order","加入订单"
"Add Tracking Number","增加运单号"
"Address","地址"
"Address model is not defined.","未定义的地址类型."
"Adjustment Fee","差价"
"Adjustment Fee:","差价："
"Adjustment Refund","差价退款"
"Adjustment Refund:","差价退款："
"Allow Reorder","允许重下订单"
"Amount","金额"
"Agreement Information","Agreement Information"
"Amount: %s.","金额: %s."
"An item option with code %s already exists.","一个项目选项代码%s已经存在."
"Append Comments","增加备注"
"Apply","应用"
"Apply Coupon Code","使用优惠券"
"Are you sure you want to cancel this order?","您确认要取消该订单吗？"
"Are you sure?","您确认吗？"
"Are you sure? This order will be cancelled and a new one will be created instead","您确认吗？该订单将被取消并会生成新订单"
"Back to My Orders","返回我的订单"
"Are you sure you want to deny this payment?","你确定你要否认这种付款方式吗?"
"Are you sure you want to do this?","您确定您想要怎么做吗？"
"Are you sure you want to send Creditmemo email to customer?","你确定你想要将信贷备忘录发送电子邮件给顾客吗?"
"Are you sure you want to send Invoice email to customer?","你确定你要将发票寄电子邮件给顾客吗?"
"Are you sure you want to send order email to customer?","你确定你想要送订单电子邮件给顾客吗?"
"Are you sure you want to send Shipment email to customer?","你确定你要发送配送方式电子邮件给顾客吗?"
"Are you sure you want to void the payment?","你确定你要取消您的付款方式吗?"
"Are you sure?","您确定吗？"
"Are you sure you want to accept this payment?","您确认要取消付款吗？"
"Approved the payment online.","已批准在线支付."
"At least a payment ID must be set.","至少设置一个支付方式ID."
"Authorization","认可"
"Authorized amount of %s.","已授权数量的%s."
"Authorizing amount of %s is pending approval on gateway.","已授权数量的%s正在网关进行认同."
"Back","返回"
"Back to Billing Agreements","回到账单协议"
"Back to My Orders","返回我的订单"
"Back to Recurring Profiles","返回循环属性"
"Backordered","缺货订单"
"Bill to First name","账单名字"
"Bill to Last name","账单姓氏"
"Bill to Name","账单姓名"
"Bestsellers","畅销商品"
"Billing Address","账单地址"
"Billing Agreement","帐单协议"
"Billing Agreement # %s","帐单协议 # %s"
"Billing Agreement #%s","帐单协议 #%s"
"Billing Agreement View","账单协议界面"
"Billing Agreements","帐单协议"
"Buy %s for price %s","购买 %s每件%s"
"Can not add order history.","无法增加订单日志。"
"Can not create block ""%s""","无法创建方框""%s"""
"Can not do invoice for order.","无法为订单生成发票"
"Can not do shipment for order.","无法执行订单配送。"
"Can not register existing creditmemo","无法登记已有付款"
"Can not register existing invoice","无法登记已有发票"
"Can not register existing shipment","无法登记已有配送"
"Can't get order instance","无法获取订单实例"
"Cancel","取消"
"Cancel invoice","取消发票"
"Cancel order","取消订单"
"Canceled","已取消"
"Cannot create an empty shipment.","无法创建空配送记录"
"Canceled order offline.","离线取消订单."
"Canceled order online.","在线取消订单."
"Cannot determine the field name.","不能确定区域名称."
"Cannot get order instance","不能获得订单实例"
"Cannot get the order instance.","不能获得订单实例."
"Capture","接收"
"Capture Amount","接收金额"
"Capture invoice","自动生成发票"
"Capture Offline","离线接收"
"Capture Online","在线接收"
"Captured amount of %s online.","在线采集%s的数量."
"Capturing amount of %s is pending approval on gateway.","采集数量的%s正在网关进行认可."
"Carrier","快递公司"
"Change Status","更改状态"
"Change status, add comments","更改状态，添加备注"
"Checkout totals sort order","总额计算顺序"
"Click to change shipping method","点击修改配送方式"
"Carrier/Method","承运人/方法"
"Closed","关闭"
"Close","关闭"
"Comma-separated.","逗号分隔."
"Comment","备注"
"Comment Text","备注文字"
"Comments","备注"
"Comments History","备注历史"
"Complete","完成"
"complete","完成"
"Country","国家"
"Coupons","优惠券"
"Create","创建"
"Create New Customer","新建客户"
"Create new invoice for order","创建订单发票"
"Create New Order","新建订单"
"Create New Order for %s","创建%s的订单"
"Create New Order for %s in %s","创建%s的新订单于%s"
"Create New Order for New Customer","创建新客户的订单"
"Create New Order for New Customer in %s","创建新客户的订单于%s"
"Create new shipment for order","配件订单配送记录"
"Create Shipment","生成配送记录"
"Create new shipment for order","创建新的订单配运"
"Create Shipment","常见配运"
"Create...","创建中..."
"Created At","创建时间"
"Created billing agreement #%s.","已创建的订单协议 #%s."
"Created:","已创建:"
"Credit Memo","退款"
"Credit Memo #","退款记录 #"
"Credit Memo # ","退款记录 #"
"Credit Memo Comment Email Sender","退款记录备注邮件发件人"
